,ROI014-ROI028,ROI026-ROI054,ROI004-ROI117,ROI019-ROI076,ROI033-ROI121,ROI043-ROI105,ROI097-ROI109,ROI008-ROI189,ROI010-ROI188,ROI024-ROI133,ROI027-ROI192,ROI037-ROI147,ROI071-ROI131,ROI113-ROI172,ROI130-ROI177
2,1.0,1.0,1.0,1.0,1.0,0.028660310272404482,1.0,1.1951184076384462e-07,0.8819653089359322,1.0,1.0,0.8819653089359322,1.0,1.0,1.0
5,2.5260052626966853e-09,1.9174159009496628e-11,2.4017025775095065e-11,6.25241283359436e-09,1.0682910089776174e-11,6.01914612496828e-14,8.931176397038614e-05,1.0335462809106171e-14,1.6740801139850753e-07,2.454859617270306e-10,9.314687496974421e-11,1.6014616874554392e-13,8.514778021286176e-15,1.5211846214315053e-08,0.05802227581690494
8,4.543951204061897e-28,1.3406596472088766e-15,1.334324053763816e-21,8.73485672907246e-15,4.615563080566415e-17,3.095604353436957e-36,1.334324053763816e-21,2.8894467672798962e-95,2.1039820727807156e-14,5.414244024896686e-16,2.7595039227040883e-12,3.2910285680614554e-31,3.197908162194785e-54,5.364216030960017e-31,3.9969552332095376e-13
11,0.04226495278353426,0.0010793754659553499,0.24675424940908217,1.0,0.49689482468992535,0.3062264776617275,0.01288799484595536,0.0010793754659553499,0.11314404268743296,1.0,0.11314404268743296,0.550050093049434,0.3062264776617275,0.3062264776617275,4.333858179483079e-07
14,6.807955927308421e-09,8.499389290222135e-12,5.530312472249399e-13,5.438992747370601e-10,5.530312472249399e-13,1.645109483066619e-10,2.969778683398718e-09,4.7849765232506555e-23,9.35159743904247e-13,6.51527584053635e-08,0.0004692978515040032,4.852522614829873e-12,1.2783216550966736e-09,1.397821107539993e-07,2.7596356008531134e-37
