,ROI001-ROI036,ROI002-ROI015,ROI003-ROI011,ROI005-ROI050,ROI005-ROI054,ROI008-ROI027,ROI008-ROI045,ROI009-ROI020,ROI011-ROI045,ROI016-ROI063,ROI020-ROI049,ROI023-ROI028,ROI027-ROI033,ROI050-ROI062,ROI060-ROI060
0,6.075527424942549e-12,4.209043544979015e-13,2.7451375249476393e-15,1.1153909144880845e-15,9.521079561607133e-25,7.994364113223481e-08,1.3355861709913755e-18,6.211739472335557e-39,8.572902865057636e-10,1.940291845623259e-18,5.269324001085159e-10,5.73897847131027e-15,3.651715530617075e-12,8.477892664147394e-16,4.71129197673549e-11
3,6.13250440251531e-16,1.1160471200454248e-12,3.531132914357121e-33,3.6513262469102715e-11,9.424500803969325e-36,1.1265639560409162e-12,0.01467013385526617,3.386162281398959e-36,3.8202159365183065e-10,2.33083337685173e-08,0.0019241962382244666,3.2865669910707885e-05,3.8202159365183065e-10,1.4213354406996785e-06,1.8157203961888303e-13
6,0.6626748601165573,1.5229607283517437e-27,0.0023510610517907976,0.06966340807382373,1.0,1.8554973150519748e-10,5.579729000608723e-08,0.4241193967937637,0.7004124460857455,4.055276591112215e-11,1.8992129315608337e-09,2.007670737903261e-12,0.07441876166811238,2.689526628132507e-10,5.388076947834244e-13
9,3.4647860503321396e-11,0.053057798303306314,1.5831590302663212e-38,2.2167210609907159e-10,1.4249309115309874e-29,0.007131201772729614,1.129159604819852e-09,1.06887257496118e-67,3.7344385810773565e-09,1.3575028502899413e-09,2.6703432146391075e-05,9.743499473315042e-11,1.0330253303071786e-10,8.608398732395679e-10,7.866755052711739e-07
12,0.5846071963394716,0.30427277509756884,5.2928120119661124e-05,3.2648076580669236e-08,0.003132727992620299,0.024999849715496167,1.5757301169786825e-08,3.1454940915531865e-11,0.00211390015845775,1.3431108711392238e-10,3.0314769071044467e-13,2.080953861035064e-06,3.786055964296157e-16,5.707531035227987e-07,4.870439670449187e-05
